	JD-11	JD-217	JD-214	JD-111	JD-207	JD-205	JD-110	JD-197	JD-29	JD-28	JD-25	JD-237
ASV_180	0	0	0	0	0	0	0	0	0	18	0	0
ASV_181	0	0	0	0	0	0	0	0	0	18	0	0
ASV_182	0	0	0	0	0	0	0	0	0	18	0	0
ASV_183	0	0	0	0	0	0	0	0	0	18	0	0
ASV_184	0	0	0	0	0	0	0	0	0	18	0	0
ASV_185	17	0	0	0	0	0	0	0	0	0	0	0
ASV_186	0	0	0	0	0	0	0	0	0	17	0	0
ASV_187	16	0	0	0	0	0	0	0	0	0	0	0
ASV_188	16	0	0	0	0	0	0	0	0	0	0	0
ASV_189	16	0	0	0	0	0	0	0	0	0	0	0
ASV_190	16	0	0	0	0	0	0	0	0	0	0	0
ASV_191	0	0	0	0	0	0	0	0	0	16	0	0
ASV_192	15	0	0	0	0	0	0	0	0	0	0	0
ASV_193	0	0	0	0	0	0	0	0	0	15	0	0
ASV_194	0	0	0	0	0	0	0	0	0	15	0	0
ASV_195	0	0	0	0	0	0	0	0	0	15	0	0
ASV_196	0	0	0	0	0	0	0	0	0	15	0	0
ASV_197	0	0	0	0	0	14	0	0	0	0	0	0
ASV_198	0	0	0	0	0	0	0	0	0	14	0	0
ASV_199	0	0	0	0	0	0	0	0	0	14	0	0
ASV_200	0	0	0	0	0	0	0	0	0	14	0	0
ASV_201	0	0	0	0	0	0	0	0	0	0	0	14
ASV_202	0	0	13	0	0	0	0	0	0	0	0	0
ASV_203	0	0	0	0	0	0	0	0	0	13	0	0
ASV_204	0	0	0	0	0	0	0	0	0	13	0	0
ASV_205	0	0	0	0	0	0	0	0	0	13	0	0
ASV_206	7	0	0	0	0	5	0	0	0	0	0	0
ASV_207	3	1	4	0	1	2	0	0	0	0	0	1
ASV_208	0	0	2	0	1	1	0	0	4	4	0	0
ASV_209	0	0	0	0	0	0	0	0	0	12	0	0
ASV_210	0	0	0	0	0	0	0	0	0	12	0	0
ASV_211	11	0	0	0	0	0	0	0	0	0	0	0
ASV_212	0	0	2	0	0	0	0	0	0	0	9	0
ASV_213	0	0	0	0	0	11	0	0	0	0	0	0
ASV_214	0	0	0	0	0	0	0	0	0	11	0	0
ASV_215	0	0	10	0	0	0	0	0	0	0	0	0
ASV_216	0	0	0	0	0	10	0	0	0	0	0	0
ASV_217	0	0	0	0	0	0	0	0	0	10	0	0
ASV_218	0	0	0	0	0	0	0	0	0	10	0	0
ASV_219	0	0	0	0	0	0	0	0	0	0	10	0
ASV_220	9	0	0	0	0	0	0	0	0	0	0	0
ASV_221	0	0	9	0	0	0	0	0	0	0	0	0
ASV_222	0	0	0	0	0	9	0	0	0	0	0	0
ASV_223	0	0	8	0	0	0	0	0	0	0	0	0
ASV_224	0	0	3	0	0	2	0	0	0	2	0	1
ASV_225	0	0	0	0	4	0	0	0	2	0	0	2
ASV_226	0	0	0	0	3	0	0	0	0	0	5	0
ASV_227	0	0	0	0	1	0	0	0	0	4	0	3
ASV_228	0	0	0	0	0	0	0	0	0	8	0	0
ASV_229	2	5	0	0	0	0	0	0	0	0	0	0
ASV_230	1	0	2	0	0	3	0	0	1	0	0	0
ASV_231	0	7	0	0	0	0	0	0	0	0	0	0
ASV_232	0	0	2	0	2	1	0	0	0	2	0	0
ASV_233	0	0	0	0	0	3	0	0	4	0	0	0
ASV_234	0	0	0	0	0	0	0	0	4	0	0	3
ASV_235	0	0	0	0	0	0	0	0	0	7	0	0
ASV_236	0	0	0	0	0	0	0	0	0	7	0	0
ASV_237	0	0	0	0	0	0	0	0	0	7	0	0
ASV_238	0	0	0	0	0	0	0	0	0	7	0	0
ASV_239	0	0	0	0	0	0	0	0	0	7	0	0
ASV_240	1	0	0	0	0	2	0	0	0	3	0	0
ASV_241	0	0	6	0	0	0	0	0	0	0	0	0
ASV_242	0	0	0	0	0	0	0	0	6	0	0	0
ASV_243	0	0	0	0	0	0	0	0	0	6	0	0
ASV_244	0	0	0	0	0	0	0	0	0	6	0	0
ASV_245	0	0	0	0	0	0	0	0	0	6	0	0
ASV_246	0	0	0	0	0	0	0	0	0	0	2	4
ASV_247	0	5	0	0	0	0	0	0	0	0	0	0
ASV_248	0	0	5	0	0	0	0	0	0	0	0	0
ASV_249	0	0	5	0	0	0	0	0	0	0	0	0
ASV_250	0	0	4	0	0	0	0	0	0	1	0	0
ASV_251	0	0	0	0	0	0	0	0	0	5	0	0
ASV_252	0	0	0	0	0	0	0	0	0	0	5	0
ASV_253	0	0	0	0	0	0	0	0	0	0	5	0
ASV_254	0	0	0	0	0	0	0	0	0	0	0	5
ASV_255	4	0	0	0	0	0	0	0	0	0	0	0
ASV_256	2	0	0	0	0	1	0	0	0	0	1	0
ASV_257	0	0	4	0	0	0	0	0	0	0	0	0
ASV_258	0	0	4	0	0	0	0	0	0	0	0	0
ASV_259	0	0	4	0	0	0	0	0	0	0	0	0
ASV_260	0	0	0	0	4	0	0	0	0	0	0	0
ASV_261	0	0	0	0	0	4	0	0	0	0	0	0
ASV_262	0	0	0	0	0	0	4	0	0	0	0	0
ASV_263	0	0	0	0	0	0	0	0	0	4	0	0
ASV_264	0	0	0	0	0	0	0	0	0	4	0	0
ASV_265	0	0	0	0	0	0	0	0	0	4	0	0
ASV_266	0	0	0	0	0	0	0	0	0	4	0	0
ASV_267	0	0	0	0	0	0	0	0	0	4	0	0
ASV_268	0	0	0	0	0	0	0	0	0	4	0	0
ASV_269	0	0	0	0	0	0	0	0	0	4	0	0
ASV_270	0	0	0	0	0	0	0	0	0	0	4	0
ASV_271	1	0	0	0	0	0	0	0	0	2	0	0
ASV_272	0	0	3	0	0	0	0	0	0	0	0	0
ASV_273	0	0	3	0	0	0	0	0	0	0	0	0
ASV_274	0	0	0	0	0	3	0	0	0	0	0	0
ASV_275	0	0	0	0	0	3	0	0	0	0	0	0
ASV_276	0	0	0	0	0	0	3	0	0	0	0	0
ASV_277	0	0	0	0	0	0	0	0	3	0	0	0
ASV_278	0	0	0	0	0	0	0	0	3	0	0	0
ASV_279	0	0	0	0	0	0	0	0	0	3	0	0
ASV_280	0	0	0	0	0	0	0	0	0	3	0	0
ASV_281	0	0	0	0	0	0	0	0	0	3	0	0
ASV_282	0	0	0	0	0	0	0	0	0	3	0	0
ASV_283	0	0	0	0	0	0	0	0	0	3	0	0
ASV_284	0	0	0	0	0	0	0	0	0	3	0	0
ASV_285	0	0	0	0	0	0	0	0	0	3	0	0
ASV_286	0	0	0	0	0	0	0	0	0	3	0	0
